Persona_ID,Model,Temperature,Prompt_Strategy,Confidence,Entropy
user_11,qwen,0.7,cot,low,0.38587394752485793
user_04,qwen,0.7,cot,high,0.3948440089801042
user_01,qwen,0.7,cot,high,0.22740602137034716
user_08,qwen,0.7,cot,high,0.3200264302707148
user_14,qwen,0.7,cot,low,0.33568692372966097
user_02,qwen,0.7,cot,high,0.2574677840122294
user_07,qwen,0.7,cot,high,0.2646064917817925
user_12,qwen,0.7,cot,low,0.3043659368117685
user_15,qwen,0.7,cot,low,0.2027754664561545
user_09,qwen,0.7,cot,high,0.14540920882488464
user_05,qwen,0.7,cot,high,0.3063955835314159
user_10,qwen,0.7,cot,high,0.19514795685421812
user_13,qwen,0.7,cot,low,0.31442856738842573
user_06,qwen,0.7,cot,high,0.21969518419111106
user_03,qwen,0.7,cot,high,0.3293186384037349
user_11,gemini2.5pro,1.0,cot,low,0.209842010279843
user_04,gemini2.5pro,1.0,cot,high,0.10159047035561398
user_01,gemini2.5pro,1.0,cot,high,0.2101641569576168
user_08,gemini2.5pro,1.0,cot,high,0.027304494989387595
user_14,gemini2.5pro,1.0,cot,low,0.2635972502376814
user_02,gemini2.5pro,1.0,cot,high,0.22849859049175802
user_07,gemini2.5pro,1.0,cot,high,0.042964988448333866
user_12,gemini2.5pro,1.0,cot,low,0.11165310093227124
user_15,gemini2.5pro,1.0,cot,low,0.4007346561050823
user_09,gemini2.5pro,1.0,cot,high,0.107719936581066
user_05,gemini2.5pro,1.0,cot,high,0.3009643758037262
user_10,gemini2.5pro,1.0,cot,high,0.034932004591323985
user_13,gemini2.5pro,1.0,cot,low,0.30498086773223126
user_06,gemini2.5pro,1.0,cot,high,0.027304494989387595
user_03,gemini2.5pro,1.0,cot,high,0.18042454099350833
user_11,gpt4o,0.2,zero,low,0.13652247494693798
user_04,gpt4o,0.2,zero,high,0.25101617110900365
user_01,gpt4o,0.2,zero,high,0.12487847341649665
user_08,gpt4o,0.2,zero,high,0.09355748649860411
user_14,gpt4o,0.2,zero,low,0.1754709714667669
user_02,gpt4o,0.2,zero,high,0.18711497299720822
user_07,gpt4o,0.2,zero,high,0.06625299150921651
user_12,gpt4o,0.2,zero,low,0.09757397842710905
user_15,gpt4o,0.2,zero,low,0.0738805011111529
user_09,gpt4o,0.2,zero,high,0.027304494989387595
user_05,gpt4o,0.2,zero,high,0.2144194679865958
user_10,gpt4o,0.2,zero,high,0.11323447188605533
user_13,gpt4o,0.2,zero,low,0.23409645337404703
user_06,gpt4o,0.2,zero,high,0.06223649958071157
user_03,gpt4o,0.2,zero,high,0.20521058743087536
user_11,gemini2.5pro,0.2,zero,low,0.20010152638095954
user_04,gemini2.5pro,0.2,zero,high,0.10646071230505572
user_01,gemini2.5pro,0.2,zero,high,0.1820059119472924
user_08,gemini2.5pro,0.2,zero,high,0.07120656103595795
user_14,gemini2.5pro,0.2,zero,low,0.2640455260035447
user_02,gemini2.5pro,0.2,zero,high,0.13904092349895858
user_07,gemini2.5pro,0.2,zero,high,0.0478352303977756
user_12,gemini2.5pro,0.2,zero,low,0.11007172997848715
user_15,gemini2.5pro,0.2,zero,low,0.3445736576076077
user_09,gemini2.5pro,0.2,zero,high,0.027304494989387595
user_05,gemini2.5pro,0.2,zero,high,0.15831243463133624
user_10,gemini2.5pro,0.2,zero,high,0.015660493458946267
user_13,gemini2.5pro,0.2,zero,low,0.26225469838437143
user_06,gemini2.5pro,0.2,zero,high,0.011644001530441327
user_03,gemini2.5pro,0.2,zero,high,0.16476404753456206
user_11,gpt4o,0.2,cot,low,0.1951479568542181
user_04,gpt4o,0.2,cot,high,0.3093195063385099
user_01,gpt4o,0.2,cot,high,0.2863536499554011
user_08,gpt4o,0.2,cot,high,0.11047720423356067
user_14,gpt4o,0.2,cot,low,0.35549003820520175
user_02,gpt4o,0.2,cot,high,0.36912088494450074
user_07,gpt4o,0.2,cot,high,0.05460898997877519
user_12,gpt4o,0.2,cot,low,0.2172600632163902
user_15,gpt4o,0.2,cot,low,0.269028457965371
user_09,gpt4o,0.2,cot,high,0.042964988448333866
user_05,gpt4o,0.2,cot,high,0.31726916261822
user_10,gpt4o,0.2,cot,high,0.015660493458946267
user_13,gpt4o,0.2,cot,low,0.2662711903128764
user_06,gpt4o,0.2,cot,high,0.07789699303965786
user_03,gpt4o,0.2,cot,high,0.2573844564349297
user_11,qwen,0.2,zero,low,0.08592997689666772
user_04,qwen,0.2,zero,high,0.08592997689666773
user_01,qwen,0.2,zero,high,0.042964988448333866
user_08,qwen,0.2,zero,high,0.034932004591323985
user_14,qwen,0.2,zero,low,0.101590470355614
user_02,qwen,0.2,zero,high,0.06625299150921651
user_07,qwen,0.2,zero,high,0.07026948343772146
user_12,qwen,0.2,zero,low,0.12487847341649665
user_15,qwen,0.2,zero,low,0.06264197383578507
user_09,qwen,0.2,zero,high,0.0
user_05,qwen,0.2,zero,high,0.0742859753662264
user_10,qwen,0.2,zero,high,0.031320986917892535
user_13,qwen,0.2,zero,low,0.09757397842710905
user_06,qwen,0.2,zero,high,0.07026948343772146
user_03,qwen,0.2,zero,high,0.0738805011111529
user_11,qwen,1.0,zero,low,0.2120676745891747
user_04,qwen,1.0,zero,high,0.3397034156581659
user_01,qwen,1.0,zero,high,0.2224524518436057
user_08,qwen,1.0,zero,high,0.12086198148799171
user_14,qwen,1.0,zero,low,0.2963329529547587
user_02,qwen,1.0,zero,high,0.31239892066877833
user_07,qwen,1.0,zero,high,0.1678434618648305
user_12,qwen,1.0,zero,low,0.19916444878272305
user_15,qwen,1.0,zero,low,0.29673842720983207
user_09,qwen,1.0,zero,high,0.09355748649860411
user_05,qwen,1.0,zero,high,0.2846889514243173
user_10,qwen,1.0,zero,high,0.1642324441913991
user_13,qwen,1.0,zero,low,0.2027754664561545
user_06,qwen,1.0,zero,high,0.10520148802904543
user_03,qwen,1.0,zero,high,0.27746691607745444
user_11,gemini2.5pro,0.2,cot,low,0.2166157698608426
user_04,gemini2.5pro,0.2,cot,high,0.1273135943912175
user_01,gemini2.5pro,0.2,cot,high,0.20898826025890627
user_08,gemini2.5pro,0.2,cot,high,0.06349572385672186
user_14,gemini2.5pro,0.2,cot,low,0.22732269379304743
user_02,gemini2.5pro,0.2,cot,high,0.2639193969154552
user_07,gemini2.5pro,0.2,cot,high,0.08560783021889394
user_12,gemini2.5pro,0.2,cot,low,0.14265194117238997
user_15,gemini2.5pro,0.2,cot,low,0.36287872870666404
user_09,gemini2.5pro,0.2,cot,high,0.08560783021889394
user_05,gemini2.5pro,0.2,cot,high,0.20159956975744392
user_10,gemini2.5pro,0.2,cot,high,0.03375610789261341
user_13,gemini2.5pro,0.2,cot,low,0.2699655355636075
user_06,gemini2.5pro,0.2,cot,high,0.027304494989387595
user_03,gemini2.5pro,0.2,cot,high,0.14540920882488462
user_11,gemini2.5pro,1.0,zero,low,0.15303671842682104
user_04,gemini2.5pro,1.0,zero,high,0.12329710246271257
user_01,gemini2.5pro,1.0,zero,high,0.2516311020294663
user_08,gemini2.5pro,1.0,zero,high,0.062319827158011286
user_14,gemini2.5pro,1.0,zero,low,0.25430504210466126
user_02,gemini2.5pro,1.0,zero,high,0.16115302986113064
user_07,gemini2.5pro,1.0,zero,high,0.04540010942305473
user_12,gemini2.5pro,1.0,zero,low,0.1686972118857673
user_15,gemini2.5pro,1.0,zero,low,0.35549003820520164
user_09,gemini2.5pro,1.0,zero,high,0.04422421272434415
user_05,gemini2.5pro,1.0,zero,high,0.24022591959949907
user_10,gemini2.5pro,1.0,zero,high,0.034932004591323985
user_13,gemini2.5pro,1.0,zero,low,0.2362094276709941
user_06,gemini2.5pro,1.0,zero,high,0.03777259982111834
user_03,gemini2.5pro,1.0,zero,high,0.09883320270311932
user_11,qwen,0.2,cot,low,0.21803048566002725
user_04,qwen,0.2,cot,high,0.32055803361387775
user_01,qwen,0.2,cot,high,0.14540920882488464
user_08,qwen,0.2,cot,high,0.23048543570061558
user_14,qwen,0.2,cot,low,0.2220469775885322
user_02,qwen,0.2,cot,high,0.15303671842682104
user_07,qwen,0.2,cot,high,0.1361170006918645
user_12,qwen,0.2,cot,low,0.18711497299720822
user_15,qwen,0.2,cot,low,0.17948746339527183
user_09,qwen,0.2,cot,high,0.07789699303965784
user_05,qwen,0.2,cot,high,0.25981957740965056
user_10,qwen,0.2,cot,high,0.14013349262036942
user_13,qwen,0.2,cot,low,0.19916444878272305
user_06,qwen,0.2,cot,high,0.08552450264159421
user_03,qwen,0.2,cot,high,0.23851841955762546
user_11,gpt4o,1.0,zero,low,0.3992659751636826
user_04,gpt4o,1.0,zero,high,0.5327090357803521
user_01,gpt4o,1.0,zero,high,0.5338849324790627
user_08,gpt4o,1.0,zero,high,0.2715469065173916
user_14,gpt4o,1.0,zero,low,0.4197133829947709
user_02,gpt4o,1.0,zero,high,0.6041544159167843
user_07,gpt4o,1.0,zero,high,0.16626209091104643
user_12,gpt4o,1.0,zero,low,0.44990127472474284
user_15,gpt4o,1.0,zero,low,0.6052469850381952
user_09,gpt4o,1.0,zero,high,0.13737622496787474
user_05,gpt4o,1.0,zero,high,0.5522193660132039
user_10,gpt4o,1.0,zero,high,0.14540920882488462
user_13,gpt4o,1.0,zero,low,0.49290678923958636
user_06,gpt4o,1.0,zero,high,0.16626209091104643
user_03,gpt4o,1.0,zero,high,0.5699928337690975
user_11,qwen,1.0,cot,low,0.4095674248408138
user_04,qwen,1.0,cot,high,0.42860011687271754
user_01,qwen,1.0,cot,high,0.3257504222410933
user_08,qwen,1.0,cot,high,0.24172396297598342
user_14,qwen,1.0,cot,low,0.3268429913625042
user_02,qwen,1.0,cot,high,0.33581305281775065
user_07,qwen,1.0,cot,high,0.2573844564349297
user_12,qwen,1.0,cot,low,0.33897579472531875
user_15,qwen,1.0,cot,low,0.21884143417017424
user_09,qwen,1.0,cot,high,0.13250598301843303
user_05,qwen,1.0,cot,high,0.36384516873998546
user_10,qwen,1.0,cot,high,0.2401425920221993
user_13,qwen,1.0,cot,low,0.42883893597319156
user_06,qwen,1.0,cot,high,0.22204697758853223
user_03,qwen,1.0,cot,high,0.3337834060981032
user_11,qwen,0.7,zero,low,0.14053896687544293
user_04,qwen,0.7,zero,high,0.22606346951703712
user_01,qwen,0.7,zero,high,0.13250598301843303
user_08,qwen,0.7,zero,high,0.10921797995755038
user_14,qwen,0.7,zero,low,0.23369097911897352
user_02,qwen,0.7,zero,high,0.1947424825991446
user_07,qwen,0.7,zero,high,0.1642324441913991
user_12,qwen,0.7,zero,low,0.19875897452764954
user_15,qwen,0.7,zero,low,0.203180940711228
user_09,qwen,0.7,zero,high,0.08191348496816278
user_05,qwen,0.7,zero,high,0.17145447953826198
user_10,qwen,0.7,zero,high,0.06625299150921651
user_13,qwen,0.7,zero,low,0.12487847341649665
user_06,qwen,0.7,zero,high,0.05862548190728014
user_03,qwen,0.7,zero,high,0.1754709714667669
user_11,gpt4o,0.7,cot,low,0.2611621292629605
user_04,gpt4o,0.7,cot,high,0.41270080431329725
user_01,gpt4o,0.7,cot,high,0.373585652638869
user_08,gpt4o,0.7,cot,high,0.07798032061695755
user_14,gpt4o,0.7,cot,low,0.3490384253019761
user_02,gpt4o,0.7,cot,high,0.37187815259699536
user_07,gpt4o,0.7,cot,high,0.06223649958071157
user_12,gpt4o,0.7,cot,low,0.30883070450613676
user_15,gpt4o,0.7,cot,low,0.3730540492957059
user_09,gpt4o,0.7,cot,high,0.051851722326280526
user_05,gpt4o,0.7,cot,high,0.5134375246479744
user_10,gpt4o,0.7,cot,high,0.03894849651982892
user_13,gpt4o,0.7,cot,low,0.328507689893588
user_06,gpt4o,0.7,cot,high,0.07112323345865824
user_03,gpt4o,0.7,cot,high,0.4170394429195759
user_11,gemini2.5pro,0.7,zero,low,0.13620032826916417
user_04,gemini2.5pro,0.7,zero,high,0.10921797995755039
user_01,gemini2.5pro,0.7,zero,high,0.22189148606535786
user_08,gemini2.5pro,0.7,zero,high,0.07798032061695756
user_14,gemini2.5pro,0.7,zero,low,0.3343150094412662
user_02,gemini2.5pro,0.7,zero,high,0.19174639584617587
user_07,gemini2.5pro,0.7,zero,high,0.0478352303977756
user_12,gemini2.5pro,0.7,zero,low,0.10000909940182992
user_15,gemini2.5pro,0.7,zero,low,0.31252504975686785
user_09,gemini2.5pro,0.7,zero,high,0.06349572385672186
user_05,gemini2.5pro,0.7,zero,high,0.23345216001849947
user_10,gemini2.5pro,0.7,zero,high,0.03777259982111834
user_13,gemini2.5pro,0.7,zero,low,0.2297578147677683
user_06,gemini2.5pro,0.7,zero,high,0.022112106362172076
user_03,gemini2.5pro,0.7,zero,high,0.06868811248393739
user_11,gpt4o,0.7,zero,low,0.35029764957798615
user_04,gpt4o,0.7,zero,high,0.44669573130638474
user_01,gpt4o,0.7,zero,high,0.37589464452550025
user_08,gpt4o,0.7,zero,high,0.2639193969154552
user_14,gpt4o,0.7,zero,low,0.3425868123987501
user_02,gpt4o,0.7,zero,high,0.4651134924178256
user_07,gpt4o,0.7,zero,high,0.18711497299720822
user_12,gpt4o,0.7,zero,low,0.2911405643275431
user_15,gpt4o,0.7,zero,low,0.5359145791987102
user_09,gpt4o,0.7,zero,high,0.10520148802904543
user_05,gpt4o,0.7,zero,high,0.5028027646616441
user_10,gpt4o,0.7,zero,high,0.13250598301843303
user_13,gpt4o,0.7,zero,low,0.3662802897147063
user_06,gpt4o,0.7,zero,high,0.14699057977866872
user_03,gpt4o,0.7,zero,high,0.44300138605565353
user_11,gpt4o,1.0,cot,low,0.3595898577110064
user_04,gpt4o,1.0,cot,high,0.4725855104965875
user_01,gpt4o,1.0,cot,high,0.5342070791568364
user_08,gpt4o,1.0,cot,high,0.11968608478928112
user_14,gpt4o,1.0,cot,low,0.441825489356943
user_02,gpt4o,1.0,cot,high,0.517048542321406
user_07,gpt4o,1.0,cot,high,0.10244422037655078
user_12,gpt4o,1.0,cot,low,0.28233715802689613
user_15,gpt4o,1.0,cot,low,0.4328554279016966
user_09,gpt4o,1.0,cot,high,0.042964988448333866
user_05,gpt4o,1.0,cot,high,0.5508046502140193
user_10,gpt4o,1.0,cot,high,0.10520148802904543
user_13,gpt4o,1.0,cot,low,0.3457495543063183
user_06,gpt4o,1.0,cot,high,0.07396382868845261
user_03,gpt4o,1.0,cot,high,0.44511436035260077
user_11,gemini2.5pro,0.7,cot,low,0.17758394576371395
user_04,gemini2.5pro,0.7,cot,high,0.12086198148799171
user_01,gemini2.5pro,0.7,cot,high,0.16719916850928293
user_08,gemini2.5pro,0.7,cot,high,0.0883650978713886
user_14,gemini2.5pro,0.7,cot,low,0.31207677399100464
user_02,gemini2.5pro,0.7,cot,high,0.17145447953826196
user_07,gemini2.5pro,0.7,cot,high,0.04540010942305473
user_12,gemini2.5pro,0.7,cot,low,0.1675213151870567
user_15,gemini2.5pro,0.7,cot,low,0.44645691220591066
user_09,gemini2.5pro,0.7,cot,high,0.062236499580711584
user_05,gemini2.5pro,0.7,cot,high,0.2233895294418422
user_10,gemini2.5pro,0.7,cot,high,0.015660493458946267
user_13,gemini2.5pro,0.7,cot,low,0.3430756142311233
user_06,gemini2.5pro,0.7,cot,high,0.02454722733689294
user_03,gemini2.5pro,0.7,cot,high,0.13100793964194865
